crop,location,quantity,demand,market_price,recommended_price
Cauliflower,Chennai,269,7,31.5,36.91
Beans,Hyderabad,129,8,34.5,40.1
Spinach,Pune,51,3,15.0,15.63
Cauliflower,Pune,337,4,17.5,18.33
Onion,Delhi,895,3,23.0,24.13
Spinach,Kolkata,127,4,19.5,20.19
Peas,Hyderabad,179,4,36.5,39.76
Cabbage,Pune,534,8,21.5,23.68
Spinach,Chennai,249,7,25.0,27.21
Carrot,Pune,229,4,39.5,41.96
Carrot,Kolkata,155,5,39.0,42.67
Potato,Mumbai,355,10,24.5,30.12
Potato,Hyderabad,203,8,15.5,18.02
Brinjal,Delhi,117,7,24.5,28.59
Peas,Patna,518,6,29.0,30.71
Cauliflower,Mumbai,330,8,32.5,37.66
Cauliflower,Mumbai,1397,1,21.0,20.82
Peas,Hyderabad,157,10,58.0,69.74
Spinach,Hyderabad,169,7,21.0,22.42
Spinach,Mumbai,63,4,28.0,30.82
Carrot,Chennai,216,6,42.5,47.38
Onion,Pune,325,7,37.5,43.02
Cabbage,Hyderabad,392,6,14.0,15.3
Tomato,Patna,806,6,33.0,32.86
Spinach,Pune,76,5,16.0,17.39
Spinach,Chennai,143,8,20.5,23.39
Potato,Chennai,932,8,23.5,27.1
Tomato,Chennai,299,3,21.5,21.29
Carrot,Mumbai,165,4,40.0,45.34
Onion,Kolkata,185,8,23.0,27.24
Cauliflower,Chennai,160,6,31.5,33.86
Tomato,Mumbai,224,9,20.0,22.96
Tomato,Patna,290,4,18.0,18.35
Beans,Kolkata,106,3,32.5,34.29
Spinach,Patna,143,7,23.5,24.69
Peas,Mumbai,63,10,56.0,72.08
Peas,Delhi,236,3,37.5,41.43
Cabbage,Mumbai,2177,5,16.0,17.21
Beans,Hyderabad,159,2,37.5,40.3
Spinach,Kolkata,13,5,25.5,27.01
Peas,Kolkata,187,6,30.0,33.87
Potato,Pune,645,6,16.5,18.03
Spinach,Kolkata,100,5,14.0,14.29
Peas,Bangalore,332,9,63.0,76.57
Brinjal,Mumbai,134,7,38.0,44.79
Brinjal,Delhi,88,8,31.5,38.4
Tomato,Mumbai,345,9,36.0,41.78
Onion,Kolkata,442,5,23.5,26.27
Cabbage,Delhi,178,10,21.5,26.09
Onion,Mumbai,282,3,33.0,37.39
Beans,Chennai,289,8,40.0,45.78
Beans,Chennai,320,10,55.5,67.16
Peas,Pune,127,3,38.0,41.12
Peas,Patna,178,5,28.5,31.5
Brinjal,Patna,451,5,26.0,27.88
Tomato,Pune,327,3,21.5,20.44
Potato,Bangalore,189,2,22.5,23.94
Potato,Pune,1749,4,16.0,16.22
Tomato,Bangalore,234,6,21.5,24.09
Spinach,Pune,56,4,17.5,18.68
Carrot,Mumbai,161,4,28.0,33.48
Carrot,Patna,250,3,26.5,26.79
Cauliflower,Mumbai,531,6,28.0,31.04
Tomato,Delhi,670,8,37.5,40.9
Spinach,Mumbai,57,8,30.0,36.2
Cabbage,Mumbai,434,5,17.0,19.38
Spinach,Patna,157,4,22.0,21.79
Cauliflower,Patna,285,2,19.0,18.22
Potato,Chennai,306,3,17.5,18.36
Potato,Patna,1094,6,13.5,14.43
Brinjal,Bangalore,72,6,36.5,40.73
Onion,Pune,2269,6,27.0,29.3
Beans,Pune,110,2,31.0,31.95
Brinjal,Delhi,619,1,25.5,25.23
Brinjal,Delhi,302,5,24.5,26.13
Cauliflower,Bangalore,272,4,24.0,26.29
Cauliflower,Pune,360,9,32.5,36.6
Onion,Kolkata,567,2,19.0,19.19
Tomato,Patna,592,1,19.5,18.52
Brinjal,Bangalore,671,7,34.5,37.24
Brinjal,Kolkata,209,10,30.5,35.33
Potato,Patna,975,5,15.0,15.03
Beans,Mumbai,207,10,62.5,78.6
Onion,Mumbai,600,6,44.0,50.29
Brinjal,Kolkata,476,3,23.5,23.44
Onion,Mumbai,269,5,30.0,34.79
Tomato,Patna,318,1,28.5,27.07
Carrot,Patna,302,5,30.5,32.27
Peas,Kolkata,161,5,32.0,37.1
Spinach,Mumbai,205,6,26.5,29.36
Beans,Hyderabad,131,9,49.5,60.26
Carrot,Delhi,565,1,29.5,28.89
Brinjal,Patna,361,3,20.0,19.97
Spinach,Kolkata,297,5,23.0,24.18
Tomato,Patna,362,5,20.0,19.85
Cauliflower,Bangalore,219,8,23.5,27.81
Beans,Kolkata,433,8,45.5,51.53
Spinach,Pune,60,2,15.5,16.3
Cauliflower,Mumbai,137,10,36.0,45.66
Onion,Patna,1730,7,30.0,30.78
Carrot,Delhi,495,8,43.5,50.14
Onion,Mumbai,686,3,35.5,36.71
Brinjal,Pune,182,4,28.0,29.46
Brinjal,Patna,158,6,21.0,22.16
Spinach,Mumbai,67,5,27.0,29.27
Brinjal,Bangalore,1106,5,21.5,22.81
Cabbage,Bangalore,181,5,20.0,23.44
Carrot,Kolkata,189,5,24.5,25.62
Beans,Pune,156,3,48.0,48.33
Cauliflower,Kolkata,309,9,32.0,36.12
Brinjal,Mumbai,415,5,30.0,32.75
Peas,Chennai,46,4,72.5,82.12
Onion,Chennai,714,6,23.5,24.9
Tomato,Kolkata,207,8,19.5,21.62
Cauliflower,Mumbai,293,5,24.5,27.52
Cauliflower,Patna,611,4,16.0,15.91
Spinach,Bangalore,21,6,26.5,31.09
Cauliflower,Patna,255,2,18.5,17.57
Spinach,Patna,34,4,13.0,13.85
Cauliflower,Hyderabad,230,8,28.5,32.74
Peas,Hyderabad,254,4,49.5,53.31
Spinach,Hyderabad,90,4,23.0,24.67
Potato,Mumbai,181,10,22.5,28.03
Brinjal,Kolkata,296,9,24.5,27.16
Brinjal,Kolkata,107,1,24.0,23.29
Tomato,Mumbai,439,8,24.5,27.43
Cauliflower,Pune,652,6,29.0,30.68
Cabbage,Hyderabad,843,7,15.0,16.78
Spinach,Hyderabad,180,1,15.5,15.03
Brinjal,Bangalore,191,5,28.0,29.9
Carrot,Mumbai,325,5,39.0,43.38
Cabbage,Patna,649,9,17.5,18.87
Brinjal,Delhi,142,6,33.0,38.33
Peas,Chennai,239,3,31.0,33.54
Beans,Chennai,134,4,55.5,60.17
Carrot,Patna,238,4,33.0,34.2
Cauliflower,Patna,488,8,27.0,28.52
Tomato,Delhi,517,7,32.0,35.93
Cabbage,Chennai,525,6,17.5,19.22
Brinjal,Bangalore,173,9,35.0,41.98
Cauliflower,Patna,199,3,18.5,18.19
Spinach,Delhi,109,8,26.0,30.05
Potato,Delhi,1788,6,21.5,23.6
Tomato,Chennai,351,5,37.0,39.75
Brinjal,Chennai,523,2,24.5,25.05
Spinach,Chennai,167,5,14.5,15.23
Tomato,Patna,315,10,26.0,27.87
Carrot,Chennai,338,9,36.5,44.02
Brinjal,Kolkata,503,4,21.0,21.32
Brinjal,Kolkata,464,2,24.5,24.09
Cauliflower,Pune,154,9,28.0,32.3
Onion,Delhi,223,4,33.5,37.44
Cauliflower,Chennai,160,8,32.5,36.99
Tomato,Bangalore,186,10,39.5,47.78
Onion,Patna,472,3,23.0,23.82
Brinjal,Bangalore,174,10,34.0,40.88
Spinach,Delhi,144,7,31.5,36.02
Potato,Delhi,1046,2,14.5,14.75
Cauliflower,Delhi,346,9,29.5,34.41
Peas,Chennai,290,6,44.0,51.45
Peas,Chennai,41,3,48.5,55.28
Cabbage,Chennai,387,5,16.5,18.32
Brinjal,Chennai,1135,6,22.0,23.67
Tomato,Patna,102,3,17.5,17.43
Cabbage,Kolkata,700,4,16.0,16.36
Potato,Bangalore,605,9,18.5,22.19
Beans,Bangalore,264,6,55.5,62.25
Brinjal,Patna,208,6,23.0,25.29
Carrot,Delhi,406,4,28.5,29.97
Tomato,Chennai,807,4,16.5,16.73
Tomato,Chennai,219,4,20.0,21.28
Carrot,Patna,331,9,28.5,31.84
Peas,Hyderabad,156,6,36.5,42.06
Brinjal,Kolkata,462,4,30.5,31.16
Peas,Bangalore,158,10,54.5,70.21
Cauliflower,Bangalore,364,7,20.5,23.48
Cabbage,Kolkata,243,6,19.0,20.6
Brinjal,Patna,244,5,26.0,26.66
Beans,Hyderabad,230,9,50.0,60.76
Spinach,Hyderabad,161,9,30.5,34.75
Beans,Patna,209,3,30.0,30.17
Cabbage,Pune,181,7,20.5,23.42
Spinach,Hyderabad,438,4,25.5,25.73
Cabbage,Bangalore,334,9,22.0,26.21
Brinjal,Hyderabad,280,4,27.5,29.04
Tomato,Kolkata,579,3,18.5,18.22
Cabbage,Patna,310,7,16.5,17.04
Brinjal,Pune,925,1,27.0,25.99
Onion,Hyderabad,973,9,45.0,51.96
Peas,Chennai,223,5,32.0,33.75
Carrot,Chennai,784,5,29.0,31.2
Carrot,Patna,84,5,36.5,38.77
Cabbage,Pune,510,4,16.0,16.84
Cabbage,Delhi,357,8,22.0,24.63
Tomato,Bangalore,97,4,37.5,41.1
Cabbage,Pune,315,5,21.5,22.87
Peas,Mumbai,189,4,68.0,76.51
Brinjal,Pune,716,1,19.5,19.19
Cauliflower,Mumbai,1558,6,22.0,23.89
Brinjal,Pune,499,3,24.0,24.0
Spinach,Mumbai,346,4,26.5,29.47
Spinach,Chennai,128,3,26.0,28.09
Cauliflower,Kolkata,225,5,27.5,30.06
Onion,Delhi,539,5,33.0,36.43
Potato,Chennai,447,6,19.0,21.0
Spinach,Hyderabad,83,8,25.5,29.01
Cabbage,Delhi,58,7,21.5,25.2
Brinjal,Kolkata,174,5,20.5,21.8
Cauliflower,Pune,143,8,35.5,39.6
Cabbage,Mumbai,818,8,18.0,20.28
Peas,Kolkata,233,5,28.5,31.92
Cauliflower,Delhi,329,5,26.5,28.67
Carrot,Chennai,597,3,42.5,45.74
Tomato,Chennai,316,5,27.0,28.04
Peas,Bangalore,37,9,40.5,51.05
Spinach,Hyderabad,76,6,23.5,26.22
Spinach,Mumbai,75,7,26.0,30.28
Beans,Pune,161,4,27.5,29.9
Onion,Delhi,779,9,39.0,45.37
Onion,Chennai,921,2,29.0,30.1
Cabbage,Delhi,146,7,24.5,29.02
Spinach,Patna,275,3,14.0,13.3
Peas,Kolkata,114,2,29.0,31.19
Beans,Pune,70,1,40.5,42.1
Beans,Hyderabad,192,8,61.0,70.79
Cauliflower,Hyderabad,254,5,18.0,20.08
Tomato,Chennai,648,5,16.0,17.46
Cabbage,Pune,275,3,14.5,15.55
Beans,Delhi,147,9,57.0,68.56
Cauliflower,Kolkata,368,2,18.0,18.49
Potato,Chennai,291,4,19.0,21.06
Onion,Hyderabad,538,7,21.5,24.59
Cabbage,Mumbai,239,3,15.0,16.45
Spinach,Mumbai,255,7,17.5,19.72
Potato,Hyderabad,374,4,17.0,18.71
Spinach,Kolkata,139,6,13.5,13.95
Onion,Chennai,848,8,35.0,39.93
Potato,Patna,1700,1,14.0,13.35
Cauliflower,Delhi,151,5,21.0,23.28
Brinjal,Kolkata,154,8,25.0,28.09
Potato,Hyderabad,285,6,14.5,15.89
Spinach,Kolkata,123,1,23.0,21.85
Carrot,Kolkata,181,8,34.0,39.18
Cauliflower,Patna,145,2,16.0,15.48
Onion,Kolkata,564,1,20.0,20.3
Peas,Mumbai,218,2,41.0,46.71
Cabbage,Delhi,472,2,17.0,17.26
Cabbage,Kolkata,553,7,15.0,15.82
Peas,Patna,166,6,27.5,29.71
Beans,Hyderabad,117,8,43.0,52.13
Beans,Kolkata,246,6,45.5,50.64
Brinjal,Patna,86,4,27.0,29.67
Cauliflower,Hyderabad,224,6,21.5,23.45
Cabbage,Kolkata,408,7,21.5,22.86
Brinjal,Pune,515,4,31.5,30.64
Carrot,Hyderabad,198,4,35.5,38.93
Tomato,Pune,261,6,17.0,18.16
Brinjal,Hyderabad,92,8,34.5,40.29
Onion,Chennai,365,3,20.0,22.16
Spinach,Kolkata,36,6,17.5,19.1
Brinjal,Hyderabad,397,6,29.0,31.86
Potato,Pune,1414,10,21.5,23.91
Cabbage,Delhi,316,5,13.5,14.56
Cabbage,Patna,286,6,14.5,14.85
Cauliflower,Hyderabad,369,6,22.5,24.01
Peas,Kolkata,104,5,54.0,60.09
Potato,Patna,329,3,13.5,13.15
Onion,Chennai,1618,1,21.5,21.64
Carrot,Mumbai,140,6,45.5,52.04
Spinach,Pune,129,4,18.5,19.21
Carrot,Hyderabad,338,6,28.5,31.73
Cauliflower,Kolkata,122,2,25.5,25.97
Brinjal,Bangalore,206,2,25.0,26.02
Spinach,Bangalore,90,9,24.5,28.73
Cabbage,Pune,479,5,14.0,14.49
Potato,Delhi,1146,3,17.0,18.28
Beans,Delhi,136,7,50.5,62.17
Cabbage,Chennai,1304,7,22.5,24.83
Onion,Patna,338,8,33.0,37.27
Cabbage,Mumbai,197,9,24.0,28.68
Beans,Bangalore,909,9,52.5,61.95
Beans,Patna,500,10,50.0,58.42
Peas,Pune,388,6,60.0,68.32
Onion,Pune,723,5,20.0,22.24
Spinach,Chennai,93,5,17.0,18.13
Spinach,Hyderabad,46,2,19.0,19.9
Carrot,Chennai,83,10,44.0,54.62
Carrot,Hyderabad,129,6,28.5,31.76
Onion,Patna,464,7,31.5,33.57
Peas,Mumbai,103,7,62.5,79.5
Peas,Patna,195,2,46.5,45.32
Onion,Kolkata,273,9,36.5,42.93
Spinach,Pune,89,6,30.5,33.33
Spinach,Pune,91,3,15.5,15.59
Brinjal,Chennai,120,10,21.5,25.19
Cauliflower,Pune,363,2,15.5,15.19
Potato,Delhi,677,9,17.0,19.93
Peas,Kolkata,224,3,32.0,33.7
Carrot,Chennai,110,7,29.5,33.34
Potato,Patna,723,3,19.0,18.05
Cauliflower,Patna,217,3,15.5,15.27
Cabbage,Kolkata,532,8,18.5,20.88
Carrot,Mumbai,322,9,35.5,43.53
Beans,Mumbai,67,6,44.5,55.24
Cauliflower,Pune,268,3,16.0,16.61
Cauliflower,Hyderabad,182,9,33.5,39.22
Peas,Chennai,466,4,55.5,60.73
Carrot,Chennai,156,7,36.5,43.58
Onion,Chennai,720,5,20.5,22.52
Onion,Kolkata,738,8,32.0,35.37
Peas,Chennai,432,8,52.0,63.46
Peas,Kolkata,71,6,43.5,51.17
Peas,Chennai,87,10,54.5,67.92
Beans,Chennai,334,5,46.0,50.59
Onion,Pune,284,2,19.5,20.07
Cabbage,Bangalore,234,7,20.5,23.83
Spinach,Patna,133,5,14.5,14.68
Peas,Kolkata,106,5,45.5,50.96
Cabbage,Kolkata,125,6,14.0,15.64
Spinach,Delhi,149,6,30.0,31.88
Beans,Delhi,98,7,42.0,48.5
Cauliflower,Kolkata,87,6,26.0,27.46
Potato,Kolkata,1643,6,20.0,21.76
Brinjal,Pune,386,8,30.0,33.91
Cabbage,Pune,801,7,22.0,23.76
Potato,Bangalore,563,8,24.0,28.89
Onion,Mumbai,1042,9,41.0,50.97
Cabbage,Pune,236,3,16.0,16.41
Brinjal,Kolkata,389,9,28.0,31.77
Beans,Mumbai,280,1,32.5,33.71
Cabbage,Hyderabad,233,5,19.5,20.99
Tomato,Chennai,482,5,28.0,29.44
Carrot,Chennai,186,7,36.5,41.82
Carrot,Patna,238,1,24.5,23.78
Carrot,Bangalore,168,1,39.5,40.62
Carrot,Pune,83,7,37.5,43.87
Spinach,Delhi,50,6,18.5,21.51
Carrot,Kolkata,718,6,39.5,41.16
Potato,Mumbai,308,6,16.5,18.94
Peas,Pune,214,8,58.5,69.2
Tomato,Mumbai,250,9,33.0,38.84
Brinjal,Mumbai,380,5,28.5,31.85
Potato,Mumbai,361,5,20.5,22.95
Peas,Delhi,192,3,32.0,35.32
Spinach,Chennai,126,5,24.0,25.25
Cabbage,Bangalore,361,4,15.0,15.88
Potato,Patna,1022,5,14.5,15.05
Brinjal,Chennai,499,2,24.5,24.61
Spinach,Hyderabad,225,5,15.0,16.25
Peas,Chennai,165,6,59.5,68.99
Carrot,Hyderabad,228,1,26.0,26.22
Tomato,Mumbai,293,7,36.0,40.91
Potato,Pune,674,7,22.5,25.48
Brinjal,Chennai,195,9,29.5,35.31
Brinjal,Kolkata,110,8,26.0,29.4
Cauliflower,Patna,291,2,16.5,15.69
Potato,Delhi,653,2,17.5,18.39
Brinjal,Hyderabad,344,4,23.5,24.62
Cauliflower,Delhi,193,5,21.0,23.05
Carrot,Hyderabad,169,8,30.5,35.41
Beans,Hyderabad,207,5,32.0,35.68
Onion,Delhi,2058,6,37.5,40.17
Beans,Patna,115,8,40.0,45.47
Potato,Kolkata,459,4,15.5,16.43
Cabbage,Mumbai,327,9,25.0,30.11
Brinjal,Bangalore,444,6,33.0,37.4
Brinjal,Kolkata,285,6,20.0,21.48
Beans,Kolkata,165,4,34.0,37.01
Tomato,Pune,260,5,32.5,35.87
Onion,Pune,1810,2,19.5,19.26
Spinach,Mumbai,105,4,29.0,30.86
Brinjal,Delhi,157,9,30.5,36.36
Tomato,Delhi,178,5,23.0,24.91
Cabbage,Hyderabad,893,5,18.0,18.47
Cauliflower,Bangalore,74,3,26.0,27.69
Tomato,Kolkata,210,1,17.5,17.16
Spinach,Bangalore,105,10,29.0,35.26
Onion,Pune,591,3,30.5,30.98
Carrot,Bangalore,265,7,39.0,45.09
Spinach,Delhi,89,4,16.5,17.55
Potato,Mumbai,298,9,22.0,26.52
Onion,Pune,1067,6,23.0,24.95
Tomato,Pune,92,4,22.5,24.24
Potato,Pune,2500,3,19.0,19.56
Cauliflower,Delhi,495,8,30.0,34.07
Carrot,Mumbai,334,10,41.5,51.02
Cabbage,Kolkata,212,7,16.5,18.0
Brinjal,Pune,404,5,29.5,31.91
Beans,Kolkata,134,9,43.0,50.82
Tomato,Mumbai,119,8,36.5,43.74
Onion,Pune,746,8,31.0,34.3
Onion,Mumbai,379,10,37.5,46.61
Potato,Hyderabad,220,3,18.0,18.77
Beans,Mumbai,231,8,61.5,74.17
Spinach,Mumbai,67,7,25.5,29.77
Beans,Delhi,299,5,49.5,55.79
Brinjal,Pune,219,1,20.5,20.86
Beans,Delhi,148,10,31.5,39.12
Peas,Delhi,190,2,33.0,35.41
Brinjal,Mumbai,364,6,35.5,39.86
Peas,Pune,301,5,39.5,43.39
Onion,Bangalore,719,4,41.5,44.28
Beans,Kolkata,44,2,31.0,33.35
Spinach,Hyderabad,87,1,15.0,14.69
Brinjal,Kolkata,141,3,19.5,19.35
Tomato,Kolkata,432,2,17.0,16.83
Potato,Patna,411,5,15.0,15.91
Brinjal,Delhi,295,8,27.5,31.47
Tomato,Chennai,136,6,38.0,40.79
Onion,Patna,404,5,23.0,24.51
Spinach,Pune,49,7,27.0,30.18
Beans,Pune,168,4,33.5,35.63
Brinjal,Hyderabad,195,5,32.5,35.41
Onion,Hyderabad,1394,4,29.0,30.58
Onion,Patna,803,8,22.5,23.71
Carrot,Bangalore,441,3,31.0,33.37
Potato,Mumbai,394,2,17.5,19.0
Carrot,Pune,137,6,42.5,47.17
Carrot,Mumbai,463,6,35.0,38.87
Brinjal,Hyderabad,122,7,26.0,29.44
Cabbage,Hyderabad,838,5,18.5,19.7
Spinach,Pune,87,8,25.0,28.14
Spinach,Pune,126,6,23.5,24.98
Peas,Bangalore,642,8,71.5,84.71
Spinach,Pune,49,1,15.5,15.25
Potato,Hyderabad,391,1,17.5,17.58
Tomato,Bangalore,159,5,33.5,37.32
Brinjal,Kolkata,144,5,22.5,24.14
Cabbage,Bangalore,525,5,15.5,17.02
Onion,Delhi,320,8,36.0,42.07
Cauliflower,Delhi,536,2,20.5,21.19
Tomato,Bangalore,690,5,34.5,37.98
Cabbage,Kolkata,128,6,17.5,19.09
Spinach,Hyderabad,66,6,24.5,26.02
Brinjal,Bangalore,464,3,24.0,26.48
Cabbage,Chennai,387,3,17.5,18.03
Cabbage,Patna,355,6,16.0,16.74
Onion,Kolkata,975,6,22.0,23.82
Spinach,Pune,58,7,20.0,22.09
Onion,Pune,474,5,32.5,34.87
Carrot,Patna,299,4,25.5,26.32
Beans,Kolkata,108,4,46.0,50.04
Brinjal,Patna,110,4,24.5,25.79
Carrot,Patna,269,6,24.5,25.33
Onion,Patna,422,3,18.0,18.18
Brinjal,Delhi,233,8,25.0,29.89
Cabbage,Kolkata,505,5,18.0,19.16
Brinjal,Mumbai,518,5,29.0,31.46
Tomato,Bangalore,1243,10,29.5,34.24
Tomato,Hyderabad,424,2,15.5,15.78
Cauliflower,Kolkata,480,8,28.5,30.2
Carrot,Pune,129,2,31.0,32.87
Beans,Hyderabad,302,8,32.0,37.18
Tomato,Hyderabad,168,6,18.0,19.82
Spinach,Chennai,122,4,16.5,17.71
Brinjal,Mumbai,121,6,33.5,38.03
Brinjal,Chennai,392,7,27.5,30.39
Spinach,Bangalore,75,7,26.0,29.75
Spinach,Patna,99,4,13.5,13.19
Tomato,Pune,226,1,17.0,16.51
Tomato,Delhi,632,4,17.5,17.79
Cauliflower,Kolkata,210,8,27.5,30.69
Peas,Mumbai,175,7,36.0,43.7
Peas,Bangalore,133,6,45.0,53.38
Tomato,Delhi,219,8,27.0,30.23
Peas,Patna,80,2,34.5,37.81
Brinjal,Mumbai,191,7,31.0,35.81
Cabbage,Mumbai,554,3,19.5,20.87
Brinjal,Chennai,216,2,26.5,26.98
Potato,Hyderabad,386,6,19.5,21.93
Beans,Hyderabad,133,5,54.0,60.73
Tomato,Mumbai,211,6,39.5,45.66
Tomato,Bangalore,138,2,23.5,25.49
Carrot,Mumbai,243,7,31.0,36.84
Cauliflower,Delhi,302,10,31.0,38.01
Peas,Mumbai,271,5,54.5,61.98
Beans,Hyderabad,112,4,29.0,32.02
Potato,Chennai,374,7,21.0,23.99
Brinjal,Pune,149,1,25.5,25.18
Beans,Pune,240,8,45.5,53.37
Cabbage,Bangalore,281,10,23.0,28.03
Spinach,Chennai,82,8,23.5,28.28
Beans,Patna,93,3,33.0,34.07
Peas,Chennai,44,7,48.0,57.5
Onion,Bangalore,431,8,42.0,48.79
Cabbage,Chennai,521,2,16.5,15.88
Onion,Chennai,271,2,21.5,22.59
Beans,Delhi,67,10,40.5,51.86
Cabbage,Mumbai,90,9,20.0,24.32
Potato,Chennai,283,7,20.0,21.9
Peas,Mumbai,78,2,36.5,39.91
Carrot,Bangalore,275,5,35.0,38.72
Cabbage,Bangalore,513,4,16.0,17.38
Cauliflower,Hyderabad,469,6,25.5,27.3
Spinach,Chennai,282,8,24.0,26.9
Peas,Mumbai,136,5,54.0,62.36
Brinjal,Hyderabad,131,9,29.0,33.62
Peas,Delhi,113,7,43.5,51.58
Onion,Chennai,492,5,33.5,36.75
Cabbage,Kolkata,660,7,14.5,15.44
Potato,Patna,776,5,16.5,17.52
Brinjal,Bangalore,294,7,35.5,41.25
Brinjal,Mumbai,183,6,35.5,40.71
Tomato,Delhi,782,4,18.5,19.22
Spinach,Kolkata,143,5,16.5,16.94
Tomato,Delhi,290,6,28.5,31.76
Tomato,Delhi,755,10,34.5,39.81
Cauliflower,Hyderabad,205,4,15.0,15.9
Onion,Kolkata,328,7,23.5,26.44
Beans,Chennai,276,3,34.5,36.05
Cauliflower,Hyderabad,183,6,30.0,32.76
Tomato,Delhi,624,9,34.0,38.84
Carrot,Hyderabad,205,7,38.0,43.2
Cauliflower,Chennai,315,7,37.0,41.21
Cauliflower,Hyderabad,263,3,17.5,18.14
Beans,Delhi,322,6,49.0,56.43
Peas,Patna,61,5,32.0,35.81
Beans,Chennai,376,10,40.0,49.35
Onion,Patna,521,5,29.5,30.55
Brinjal,Delhi,209,4,28.5,31.38
Brinjal,Bangalore,165,3,24.5,25.63
Potato,Patna,547,4,16.5,16.68
Onion,Mumbai,858,7,34.0,38.13
Brinjal,Patna,415,4,23.5,23.16
Cauliflower,Bangalore,146,4,22.0,24.91
Potato,Bangalore,620,5,18.0,20.08
Beans,Hyderabad,94,9,42.5,51.59
Cauliflower,Delhi,152,5,18.5,20.52
Cabbage,Chennai,261,10,22.0,26.93
Tomato,Kolkata,180,5,19.5,19.4
Potato,Bangalore,361,3,20.5,21.67
Spinach,Bangalore,57,4,29.0,31.49
Cabbage,Delhi,707,7,16.5,18.28
Carrot,Kolkata,282,9,45.5,51.33
Peas,Delhi,303,4,67.0,75.55
Spinach,Bangalore,85,3,17.0,17.5
Carrot,Patna,379,4,24.5,23.49
Carrot,Patna,183,4,26.5,26.11
Brinjal,Kolkata,403,6,23.5,25.14
Beans,Mumbai,102,8,55.5,69.34
Beans,Mumbai,82,4,40.0,45.46
Beans,Mumbai,180,6,42.5,51.93
Spinach,Hyderabad,97,5,19.0,20.57
Cabbage,Hyderabad,249,2,15.0,15.27
Tomato,Delhi,482,6,34.0,37.31
Spinach,Pune,117,8,21.0,23.68
Potato,Bangalore,885,10,23.0,26.84
Brinjal,Chennai,330,4,24.5,26.31
Peas,Hyderabad,155,5,35.0,39.75
Cabbage,Chennai,359,1,16.5,16.13
Potato,Kolkata,1834,6,17.5,18.75
Potato,Patna,231,8,17.5,19.39
Beans,Delhi,145,4,36.0,40.0
Spinach,Patna,67,2,12.0,11.66
Cabbage,Patna,581,6,13.0,13.7
Brinjal,Pune,263,5,26.5,29.48
Cabbage,Chennai,88,5,14.0,16.14
Cauliflower,Bangalore,282,6,21.0,23.74
Cabbage,Pune,112,6,13.5,15.2
Onion,Patna,2312,5,22.5,21.53
Peas,Delhi,211,9,62.5,74.33
Beans,Hyderabad,176,2,42.5,46.59
Carrot,Delhi,531,4,30.0,31.41
Onion,Bangalore,900,6,39.5,42.24
Cauliflower,Pune,845,6,27.0,28.86
Cabbage,Chennai,333,8,21.5,24.69
Spinach,Delhi,58,3,23.0,24.59
Cauliflower,Kolkata,413,5,20.0,20.82
Carrot,Pune,417,6,36.5,39.58
Tomato,Patna,125,1,20.5,19.47
Cabbage,Kolkata,150,2,17.5,17.13
Beans,Patna,382,5,48.5,51.25
Peas,Chennai,233,8,58.0,70.09
Potato,Mumbai,498,5,21.5,24.1
Tomato,Chennai,188,7,32.5,36.13
Carrot,Chennai,106,7,45.5,53.85
Tomato,Kolkata,100,3,18.5,19.5
Onion,Mumbai,299,4,37.5,42.18
Potato,Mumbai,1190,7,28.0,31.77
Potato,Kolkata,875,7,21.5,24.8
Brinjal,Hyderabad,269,2,25.0,24.88
Carrot,Mumbai,191,4,44.5,50.05
Peas,Delhi,209,4,33.0,38.25
Onion,Hyderabad,329,9,36.0,41.73
Cauliflower,Pune,170,6,31.5,34.04
Tomato,Bangalore,236,4,20.0,21.6
Beans,Pune,282,3,33.0,35.35
Beans,Chennai,76,3,32.5,36.41
Beans,Kolkata,198,9,46.5,54.87
Brinjal,Pune,434,4,23.5,24.41
Cabbage,Kolkata,813,5,17.0,17.28
Carrot,Patna,452,2,24.5,24.09
Brinjal,Bangalore,573,4,26.5,27.51
Tomato,Delhi,695,8,40.5,44.08
Peas,Kolkata,55,6,54.5,61.21
Tomato,Chennai,187,6,30.0,34.14
Beans,Kolkata,163,8,54.0,62.48
Cabbage,Delhi,369,6,16.0,17.47
Onion,Kolkata,334,2,21.0,22.28
Tomato,Hyderabad,230,1,17.5,17.58
Cabbage,Delhi,1244,2,14.0,14.33
Cauliflower,Bangalore,470,3,18.5,19.54
Tomato,Kolkata,209,6,16.5,17.63
Cauliflower,Patna,223,9,25.5,28.21
Carrot,Chennai,209,6,36.0,39.88
Carrot,Pune,142,7,38.0,44.93
Cauliflower,Patna,235,1,15.5,14.72
Potato,Chennai,546,8,21.0,24.35
Carrot,Hyderabad,356,6,35.5,37.28
Potato,Hyderabad,775,3,18.0,18.63
Peas,Pune,298,4,36.0,38.28
Peas,Patna,169,3,43.0,43.13
Cabbage,Delhi,1037,7,18.5,21.04
Carrot,Mumbai,430,8,51.0,60.72
Cabbage,Pune,777,3,16.0,16.26
Potato,Hyderabad,807,2,18.0,18.36
Spinach,Kolkata,139,3,15.0,15.41
Beans,Pune,232,9,50.5,58.64
Carrot,Chennai,67,4,36.0,40.51
Beans,Hyderabad,109,2,29.5,32.12
Cabbage,Mumbai,411,5,18.5,20.36
Cabbage,Pune,431,7,18.5,20.9
